envoy-1  | 2026-09-23T10:20:23.432477588Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
envoy-1  | 2026-09-23T10:20:23.432487836Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_session: envoy.http.stateful_session.cookie, envoy.http.stateful_session.header
envoy-1  | 2026-09-23T10:20:23.432497763Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
envoy-1  | 2026-09-23T10:20:23.432508479Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.route.early_data_policy: envoy.route.early_data_policy.default
envoy-1  | 2026-09-23T10:20:23.432518471Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstreams: envoy.filters.connection_pools.http.dubbo_tcp, envoy.filters.connection_pools.http.generic, envoy.filters.connection_pools.http.http, envoy.filters.connection_pools.http.tcp
envoy-1  | 2026-09-23T10:20:23.432537504Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.http.upstream: envoy.buffer, envoy.ext_proc, envoy.filters.http.admission_control, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.buffer, envoy.filters.http.composite, envoy.filters.http.ext_proc, envoy.filters.http.header_mutation, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.upstream_codec, envoy.filters.http.wasm
envoy-1  | 2026-09-23T10:20:23.432549288Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.path.rewrite: envoy.path.rewrite.uri_template.uri_template_rewriter
envoy-1  | 2026-09-23T10:20:23.432559009Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.action: envoy.matching.actions.format_string, filter-chain-name
envoy-1  | 2026-09-23T10:20:23.432568913Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.stats_sinks: envoy.dog_statsd, envoy.graphite_statsd, envoy.metrics_service, envoy.open_telemetry_stat_sink, envoy.stat_sinks.dog_statsd, envoy.stat_sinks.graphite_statsd, envoy.stat_sinks.hystrix, envoy.stat_sinks.metrics_service, envoy.stat_sinks.open_telemetry, envoy.stat_sinks.statsd, envoy.stat_sinks.wasm, envoy.statsd
envoy-1  | 2026-09-23T10:20:23.432580336Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tracers: envoy.tracers.datadog, envoy.tracers.opentelemetry, envoy.tracers.skywalking, envoy.tracers.xray, envoy.tracers.zipkin, envoy.zipkin
envoy-1  | 2026-09-23T10:20:23.432590565Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.protocols: dubbo
envoy-1  | 2026-09-23T10:20:23.432600789Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.server.crypto_stream: envoy.quic.crypto_stream.server.quiche
envoy-1  | 2026-09-23T10:20:23.432610704Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
envoy-1  | 2026-09-23T10:20:23.432620364Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.built_in_formatters: envoy.built_in_formatters.http.default, envoy.built_in_formatters.metadata, envoy.built_in_formatters.stream_info.default
envoy-1  | 2026-09-23T10:20:23.432630741Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.http.input: envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.filter_state, envoy.matching.inputs.network_namespace, envoy.matching.inputs.request_headers, envoy.matching.inputs.request_trailers, envoy.matching.inputs.response_headers, envoy.matching.inputs.response_trailers, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.status_code_class_input, envoy.matching.inputs.status_code_input, envoy.matching.inputs.subject, envoy.matching.inputs.uri_san, query_params
envoy-1  | 2026-09-23T10:20:23.432643897Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_mux: envoy.config_mux.delta_grpc_mux_factory, envoy.config_mux.grpc_mux_factory, envoy.config_mux.new_grpc_mux_factory, envoy.config_mux.sotw_grpc_mux_factory
envoy-1  | 2026-09-23T10:20:23.432661493Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers.extension_filters: envoy.access_loggers.extension_filters.cel
envoy-1  | 2026-09-23T10:20:23.432671553Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   quic.http_server_connection: quic.http_server_connection.default
envoy-1  | 2026-09-23T10:20:23.432681693Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.common_inputs: envoy.matching.common_inputs.environment_variable
envoy-1  | 2026-09-23T10:20:23.432691549Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstream.local_address_selector: envoy.upstream.local_address_selector.default_local_address_selector
envoy-1  | 2026-09-23T10:20:23.432709793Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.http: envoy.bandwidth_limit, envoy.buffer, envoy.cors, envoy.csrf, envoy.ext_authz, envoy.ext_proc, envoy.fault, envoy.filters.http.adaptive_concurrency, envoy.filters.http.admission_control, envoy.filters.http.alternate_protocols_cache, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.bandwidth_limit, envoy.filters.http.buffer, envoy.filters.http.cache, envoy.filters.http.cdn_loop, envoy.filters.http.composite, envoy.filters.http.compressor, envoy.filters.http.connect_authority, envoy.filters.http.connect_grpc_bridge, envoy.filters.http.cors, envoy.filters.http.csrf, envoy.filters.http.custom_response, envoy.filters.http.decompressor, envoy.filters.http.dynamic_forward_proxy, envoy.filters.http.ext_authz, envoy.filters.http.ext_proc, envoy.filters.http.fault, envoy.filters.http.gcp_authn, envoy.filters.http.golang, envoy.filters.http.grpc_field_extraction, envoy.filters.http.grpc_http1_bridge, envoy.filters.http.grpc_http1_reverse_bridge, envoy.filters.http.grpc_json_transcoder, envoy.filters.http.grpc_stats, envoy.filters.http.grpc_web, envoy.filters.http.header_mutation, envoy.filters.http.header_to_metadata, envoy.filters.http.health_check, envoy.filters.http.http_dubbo_transcoder, envoy.filters.http.ip_tagging, envoy.filters.http.istio_stats, envoy.filters.http.jwt_authn, envoy.filters.http.local_ratelimit, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.mcp_sse_stateful_session, envoy.filters.http.oauth2, envoy.filters.http.on_demand, envoy.filters.http.original_src, envoy.filters.http.peer_metadata, envoy.filters.http.ratelimit, envoy.filters.http.rbac, envoy.filters.http.router, envoy.filters.http.set_metadata, envoy.filters.http.stateful_session, envoy.filters.http.sxg, envoy.filters.http.tap, envoy.filters.http.wasm, envoy.grpc_http1_bridge, envoy.grpc_json_transcoder, envoy.grpc_web, envoy.health_check, envoy.ip_tagging, envoy.local_rate_limit, envoy.lua, envoy.rate_limit, envoy.router, istio.alpn, istio_authn
envoy-1  | 2026-09-23T10:20:23.432735037Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.input_matchers: envoy.matching.matchers.consistent_hashing, envoy.matching.matchers.ip
envoy-1  | 2026-09-23T10:20:23.432745318Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.resource_monitors: envoy.resource_monitors.fixed_heap, envoy.resource_monitors.injected_resource
envoy-1  | 2026-09-23T10:20:23.432755190Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.router.cluster_specifier_plugin: envoy.router.cluster_specifier_plugin.cluster_fallback, envoy.router.cluster_specifier_plugin.golang
envoy-1  | 2026-09-23T10:20:23.432773534Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.internal_redirect_predicates: envoy.internal_redirect_predicates.allow_listed_routes, envoy.internal_redirect_predicates.previous_routes, envoy.internal_redirect_predicates.safe_cross_scheme
envoy-1  | 2026-09-23T10:20:23.432784622Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.retry_host_predicates: envoy.retry_host_predicates.omit_canary_hosts, envoy.retry_host_predicates.omit_host_metadata, envoy.retry_host_predicates.previous_hosts
envoy-1  | 2026-09-23T10:20:23.432795006Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.health_checkers: envoy.health_checkers.grpc, envoy.health_checkers.http, envoy.health_checkers.redis, envoy.health_checkers.tcp
envoy-1  | 2026-09-23T10:20:23.432805274Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.guarddog_actions: envoy.watchdog.abort_action, envoy.watchdog.profile_action
envoy-1  | 2026-09-23T10:20:23.432815202Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.udp_packet_writer: envoy.udp_packet_writer.default, envoy.udp_packet_writer.gso
envoy-1  | 2026-09-23T10:20:23.432826486Z [2026-09-23 10:20:23.432][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.mcp_sse_stateful_session: envoy.http.mcp_sse_stateful_session.envelope
